Year,ACTIVITY,Value
2007,,78.2
2008,,54.3
2009,,48.7
2010,,45.5
2011,,42.0
2012,,35.3
2013,,31.4
2014,,26.1
2015,,26.7
2016,,22.0
2017,,25.3
2018,,25.5
2019,,20.5
2020,,20.5
2021,,17.9
2022,,135.0
2023,,105.0
2012,ISIC4_A,1.2
2013,ISIC4_A,1.4
2014,ISIC4_A,1.4
2015,ISIC4_A,1.1
2016,ISIC4_A,1.1
2017,ISIC4_A,1.1
2018,ISIC4_A,1.1
2019,ISIC4_A,1.0
2020,ISIC4_A,0.9
2021,ISIC4_A,0.7
2022,ISIC4_A,6.0
2023,ISIC4_A,5.0
2012,ISIC4_B,44.5
2013,ISIC4_B,56.5
2014,ISIC4_B,83.6
2015,ISIC4_B,55.4
2016,ISIC4_B,37.7
2017,ISIC4_B,22.8
2018,ISIC4_B,30.3
2019,ISIC4_B,23.6
2020,ISIC4_B,24.4
2021,ISIC4_B,10.6
2022,ISIC4_B,98.0
2023,ISIC4_B,83.0
2012,ISIC4_D,264.3
2013,ISIC4_D,282.6
2014,ISIC4_D,254.1
2015,ISIC4_D,201.4
2016,ISIC4_D,195.8
2017,ISIC4_D,174.5
2018,ISIC4_D,149.3
2019,ISIC4_D,149.5
2020,ISIC4_D,146.5
2021,ISIC4_D,142.2
2022,ISIC4_D,1258.0
2023,ISIC4_D,1185.0
